ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
93	- - tʃ ã r ã ɲ	SARAN	716	5012	seco	DRY (state)	Karo	0	tʃãrãɲ	ʃãrãɲ	36	Karo (Arara)	DRY	36.S.C 36.A.V 36.R.C 36.A.V 36.N.c	AXBYN	3 7 5 7 4	tʃ ã r ã ɲ	tʃãrãɲ	2.0 1.5 1.75 1.3 0.8		
94	- - ɨ g a n a	IKANA	730	5134	terrapais7	EARTH / LAND	Karo	0	ɨgana	ɨgana	36	Karo (Arara)	EARTH	36.I.V 36.K.C 36.A.V 36.N.C 36.A.V	XBYBZ	7 1 7 4 7	ɨ g a n a	ɨgana	1.5 1.75 1.3 1.75 0.8		
95	- - - - o p - i r i s a p - -	UPIRISAP	1560	176	orelha	EAR	Karo	0	opirisap	opirisap	36	Karo (Arara)	EAR	36.U.V 36.P.C 36.I.V 36.R.C 36.I.V 36.S.C 36.A.V 36.P.c	XBYBYBYN	7 1 7 5 7 3 7 1	o p i r i s a p	opirisap	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
96	n o k -	NUK	739	5205	comer6	EAT (intr.)	Karo	0	nok	nok	36	Karo (Arara)	EAT	36.N.C 36.U.V 36.K.c	AXN	4 7 1	n o k	nok	2.0 1.5 0.8		
97	k - a m - - -	KAM	734	5199	comer	EAT (tr.)	Karo	0	kam	kam	36	Karo (Arara)	INGEST	36.K.C 36.A.V 36.M.c	AXN	1 7 4	k a m	kam	2.0 1.5 0.8		
98	- - - j o g a -	JUKA	744	5299	ovo	EGG	Karo	0	joga	joga	36	Karo (Arara)	EGG	36.J.C 36.U.V 36.K.C 36.A.V	AXBZ	6 7 1 7	j o g a	joga	2.0 1.5 1.75 0.8		
99	p a k + p a k	PAK_PAK	442	3233 3234	embaubaimbauba	CECROPIA	Karo	0	pak pak	pak+pak	36	Karo (Arara)	CECROPIA _cecropia	36.P.C 36.A.V 36.K.c 36._._ 36.P.C 36.A.V 36.K.c	AXN_AXN	1 7 1 9 1 7 1	p a k + p a k	pak pak	2.0 1.5 0.8 0.0 2.0 1.5 0.8		
100	j o g o -	JUKU	750	5364	enguiapeixeeletricoporaque2	EEL	Karo	0	jogo	jogo	36	Karo (Arara)	EEL	36.J.C 36.U.V 36.K.C 36.U.V	AXBZ	6 7 1 7	j o g o	jogo	2.0 1.5 1.75 0.8		
101	ɲ a r a t	NARAT	766	5406	entrar	ENTER	Karo	0	ɲarat	ɲarat	36	Karo (Arara)	ENTER	36.N.C 36.A.V 36.R.C 36.A.V 36.T.c	AXBYN	4 7 5 7 1	ɲ a r a t	ɲarat	2.0 1.5 1.75 1.3 0.8		
102	- tʃ a - g a - -	TAKA	770	5454	olho	EYE	Karo	0	tʃaga	tʃaga	36	Karo (Arara)	EYE	36.T.C 36.A.V 36.K.C 36.A.V	AXBZ	1 7 1 7	tʃ a g a	tʃaga	2.0 1.5 1.75 0.8		
103	n a ʔ k õ n	NAHKUN	779	5526	cararostoface	FACE	Karo	0	naʔkõn	naʔkõn	36	Karo (Arara)	FACE	36.N.C 36.A.V 36.H.c 36.K.C 36.U.V 36.N.c	AXMBYN	4 7 1 1 7 4	n a ʔ k õ n	naʔkõn	2.0 1.5 1.1 1.75 1.3 0.8		
104	p a ʔ p a - t -	PAHPAT	783	1772	cair	FALL	Karo	0	paʔpat	paʔpat	36	Karo (Arara)	FALL	36.P.C 36.A.V 36.H.c 36.P.C 36.A.V 36.T.c	AXMBYN	1 7 1 1 7 1	p a ʔ p a t	paʔpat	2.0 1.5 1.1 1.75 1.3 0.8		
105	- - - - - t ã - - w	TAW	790	5634	longe	FAR	Karo	0	tãw	tãw	36	Karo (Arara)	FAR	36.T.C 36.A.V 36.W.c	AXN	1 7 6	t ã w	tãw	2.0 1.5 0.8		
106	- k - a p - - - - -	KAP	797	5696	gordurabanha1	FAT / GREASE	Karo	0	kap	kap	36	Karo (Arara)	FAT	36.K.C 36.A.V 36.P.c	AXN	1 7 1	k a p	kap	2.0 1.5 0.8		
107	i j õ m	JUM	805	5758	pai1	FATHER	Karo	0	ijõm	jõm	36	Karo (Arara)	FATHER	36.J.C 36.U.V 36.M.c	AXN	6 7 4	i j õ m	ijõm	2.0 1.5 0.8		
108	p ia - ʔ a n	PIHAN	810	5829	temertermedo2	FEAR / BE AFRAID	Karo	0	piaʔan	piaʔan	36	Karo (Arara)	FEAR	36.P.C 36.I.V 36.H.C 36.A.V 36.N.c	AXBYN	1 7 1 7 4	p ia ʔ a n	piaʔan	2.0 1.5 1.75 1.3 0.8		
109	a ʔ + ts a p -	AH_CAP	3508	5891 1667	penapluma	FEATHER	Karo	0	aʔ tsap	aʔ+tsap	36	Karo (Arara)	? HAIR	36.A.V 36.H.c 36._._ 36.C.C 36.A.V 36.P.c	XN_AXN	7 1 9 2 7 1	a ʔ + ts a p	aʔ tsap	1.5 0.8 0.0 2.0 1.5 0.8		
110	- - p a - - - k aː ʔ	PAKAH	3910	2240	dedo	FINGER	Karo	0	pakaaʔ	pakaːʔ	36	Karo (Arara)	FINGER	36.P.C 36.A.V 36.K.C 36.A.V 36.H.c	AXBYN	1 7 1 7 1	p a k aː ʔ	pakaaʔ	2.0 1.5 1.75 1.3 0.8		
111	- tʃ a n -	TAN	833	6003	fogo1	FIRE	Karo	0	tʃan	tʃan	36	Karo (Arara)	FIRE	36.T.C 36.A.V 36.N.c	AXN	1 7 4	tʃ a n	tʃan	2.0 1.5 0.8		
112	- - m a g o w i p	MAKUWIP	3950	2305	vagalumepirilampo	FIREFLY / GLOWWORM	Karo	0	magowip	magowip	36	Karo (Arara)	FIREFLY	36.M.C 36.A.V 36.K.C 36.U.V 36.W.C 36.I.V 36.P.c	AXBYBYN	4 7 1 7 6 7 1	m a g o w i p	magowip	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
113	- tʃ a t -	TAT	855	6119	lenha	FIREWOOD	Karo	0	tʃat	tʃat	36	Karo (Arara)	FIREWOOD	36.T.C 36.A.V 36.T.c	AXN	1 7 1	tʃ a t	tʃat	2.0 1.5 0.8		
114	- i p	IP	864	6176	peixe	FISH	Karo	0	ip	ip	36	Karo (Arara)	FISH	36.I.V 36.P.c	XN	7 1	i p	ip	1.5 0.8		
115	- tʃ o + p u ʔ	SU_PYH	870	6252 6253	anzol	FISHHOOK	Karo	0	ʃo puʔ	ʃo+puʔ	36	Karo (Arara)	FISHHOOK _fishhook	36.S.C 36.U.V 36._._ 36.P.C 36.Y.V 36.H.c	AX_AXN	3 7 9 1 7 1	tʃ o + p u ʔ	ʃo puʔ	2.0 1.5 0.0 2.0 1.5 0.8		
116	tʃ ẽ r a t	TERAT	880	6282	planoliso	FLAT	Karo	0	tʃẽrat	tʃẽrat	36	Karo (Arara)	FLAT	36.T.C 36.E.V 36.R.C 36.A.V 36.T.c	AXBYN	1 7 5 7 1	tʃ ẽ r a t	tʃẽrat	2.0 1.5 1.75 1.3 0.8		
117	n ã - - - p	NAP	886	6324	pulga	FLEA / CHIGGER	Karo	1	nãp	nãp	36	Karo (Arara)	FLEA	36.N.C 36.A.V 36.P.c	AXN	4 7 1	n ã p	nãp	2.0 1.5 0.8		
118	- - tʃ ĩ m -	TIM	3524	1692	carne	FLESH / MEAT	Karo	0	tʃĩm	tʃĩm	36	Karo (Arara)	FLESH	36.T.C 36.I.V 36.M.c	AXN	1 7 4	tʃ ĩ m	tʃĩm	2.0 1.5 0.8		
119	tʃ ì n	SIN	3489	1635	flor	FLOWER	Karo	0	ʃìn	ʃì/in	36	Karo (Arara)	FLOWER	36.S.C 36.I.V 36.N.c	AXN	3 7 4	tʃ ì n	ʃìn	2.0 1.5 0.8		
120	- w a n - - - -	WAN	923	6551	voar	FLY	Karo	0	wan	wan	36	Karo (Arara)	FLY	36.W.C 36.A.V 36.N.c	AXN	6 7 4	w a n	wan	2.0 1.5 0.8		
121	tʃ o p	TUP	933	6607	mosca	FLY (insect)	Karo	0	tʃop	tʃop	36	Karo (Arara)	FLY	36.T.C 36.U.V 36.P.c	AXN	1 7 1	tʃ o p	tʃop	2.0 1.5 0.8		
122	w i r i k - - - - -	WIRIK	4445	2850	comida	FOOD	Karo	0	wirik	wirik	36	Karo (Arara)	FOOD	36.W.C 36.I.V 36.R.C 36.I.V 36.K.c	AXBYN	6 7 5 7 1	w i r i k	wirik	2.0 1.5 1.75 1.3 0.8		
123	- - p i b e ʔ -	PIPEH	944	6716	pe	FOOT	Karo	0	pibeʔ	pibeʔ	36	Karo (Arara)	FOOT	36.P.C 36.I.V 36.P.C 36.E.V 36.H.c	AXBYN	1 7 1 7 1	p i b e ʔ	pibeʔ	2.0 1.5 1.75 1.3 0.8		
124	tʃ e t i + tʃ e t oi	SETI_SETUJ	947	6790 6790	esquecer	FORGET	Karo	0	ʃeti ʃetoj	ʃeti+ʃetoj	36	Karo (Arara)	_forget FORGET	36.S.C 36.E.V 36.T.C 36.I.V 36._._ 36.S.C 36.E.V 36.T.C 36.U.V 36.J.c	AXBZ_AXBYN	3 7 1 7 9 3 7 1 7 6	tʃ e t i + tʃ e t oi	ʃeti ʃetoj	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8		
125	- - p a g o n	PAKUN	960	6824	quatro	FOUR	Karo	0	pagon	pagon	36	Karo (Arara)	FOUR	36.P.C 36.A.V 36.K.C 36.U.V 36.N.c	AXBYN	1 7 1 7 4	p a g o n	pagon/nopəttem	2.0 1.5 1.75 1.3 0.8		
126	n o - - p ə tː e m	NUPETEM	956	6819	quatro	FOUR	Karo	0	nopəttem	nopətːem	36	Karo (Arara)	FOUR	36.N.C 36.U.V 36.P.C 36.E.V 36.T.C 36.E.V 36.M.c	AXBYBYN	4 7 1 7 1 7 4	n o p ə tː e m	pagon/nopəttem	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
127	- w e r e	WERE	971	6880	sapo7	FROG / TOAD	Karo	0	were	were	36	Karo (Arara)	FROG	36.W.C 36.E.V 36.R.C 36.E.V	AXBZ	6 7 5 7	w e r e	were	2.0 1.5 1.75 0.8		
128	- - - - ʔ a -	HA	975	6940	fruta	FRUIT	Karo	0	ʔa	ʔa	36	Karo (Arara)	FRUIT	36.H.C 36.A.V	AX	1 7	ʔ a	ʔa	2.0 1.5		
129	t õ n + n e m - -	TUN_NEM	4365	6994 6993	cheio	FULL	Karo	0	tõn-nem	tõn+nem	36	Karo (Arara)	_full FULL	36.T.C 36.U.V 36.N.c 36._._ 36.N.C 36.E.V 36.M.c	AXN_AXN	1 7 4 9 4 7 4	t õ n + n e m	tõn-nem	2.0 1.5 0.8 0.0 2.0 1.5 0.8		
130	ɨ	I	990	18593	jenipapogenipa3	GENIPA	Karo	0	ɨ	ɨ	36	Karo (Arara)	GENIPA	36.I.V	X	7	ɨ	ɨ	1.5		
131	n - a k õ m -	NAKUM	1006	7138	menina	GIRL	Karo	1	nakõm	nakõm	36	Karo (Arara)	GIRL	36.N.C 36.A.V 36.K.C 36.U.V 36.M.c	AXBYN	4 7 1 7 4	n a k õ m	nakõm	2.0 1.5 1.75 1.3 0.8		
132	p ã ŋ a n	PANAN	1013	7188	dar	GIVE	Karo	0	pãŋan	pãŋan	36	Karo (Arara)	GIVE	36.P.C 36.A.V 36.N.C 36.A.V 36.N.c	AXBYN	1 7 4 7 4	p ã ŋ a n	pãŋan	2.0 1.5 1.75 1.3 0.8		
133	- ʔ e t	HET	1028	7303	ir	GO	Karo	0	ʔet	ʔet	36	Karo (Arara)	GO	36.H.C 36.E.V 36.T.c	AXN	1 7 1	ʔ e t	ʔet	2.0 1.5 0.8		
134	k o ʔ p a n	KUHPAN	1033	7365	subir	GO UP	Karo	0	koʔpan	koʔpan	36	Karo (Arara)	GO	36.K.C 36.U.V 36.H.c 36.P.C 36.A.V 36.N.c	AXMBYN	1 7 1 1 7 4	k o ʔ p a n	koʔpan	2.0 1.5 1.1 1.75 1.3 0.8		
135	p ã tː - - e m	PATEM	1038	7418	bombem7	GOOD / WELL	Karo	0	pãttem	pãtːem	36	Karo (Arara)	GOOD	36.P.C 36.A.V 36.T.C 36.E.V 36.M.c	AXBYN	1 7 1 7 4	p ã tː e m	pãttem	2.0 1.5 1.75 1.3 0.8		
136	- - - t o t o -	TUTU	1043	7484	avo	GRANDFATHER	Karo	0	toto	toto	36	Karo (Arara)	GRANDFATHER	36.T.C 36.U.V 36.T.C 36.U.V	AXBZ	1 7 1 7	t o t o	toto	2.0 1.5 1.75 0.8		
137	- - - - k ɨ r ɨ k - - -	KIRIK	1061	14440	verde	GREEN	Karo	0	kɨrɨk	kɨrɨk	36	Karo (Arara)	UNRIPE	36.K.C 36.I.V 36.R.C 36.I.V 36.K.c	AXBYN	1 7 5 7 1	k ɨ r ɨ k	kɨrɨk / kɨt	2.0 1.5 1.75 1.3 0.8		
138	- - - - k ɨ t - - - - -	KIT	1061	14440	verde	GREEN	Karo	0	kɨt	kɨt	36	Karo (Arara)	UNRIPE	36.K.C 36.I.V 36.T.c	AXN	1 7 1	k ɨ t	kɨrɨk / kɨt	2.0 1.5 0.8		
139	w a j	WAJ	1076	7696	crescer	GROW	Karo	0	waj	waj	36	Karo (Arara)	GROW	36.W.C 36.A.V 36.J.c	AXN	6 7 6	w a j	waj	2.0 1.5 0.8		
140	j a m o m õ	JAMUMU	1073	7672	camaleao	GREEN IGUANA	Karo	0	jamomõ	jamomõ	36	Karo (Arara)	GREEN_IGUANA	36.J.C 36.A.V 36.M.C 36.U.V 36.M.C 36.U.V	AXBYBZ	6 7 4 7 4 7	j a m o m õ	jamomõ	2.0 1.5 1.75 1.3 1.75 0.8		
141	k o r e t -	KURET	1091	7737	jacu	GUAN / JACU	Karo	1	koret	koret	36	Karo (Arara)	GUAN	36.K.C 36.U.V 36.R.C 36.E.V 36.T.c	AXBYN	1 7 5 7 1	k o r e t	koret	2.0 1.5 1.75 1.3 0.8		
142	- n a + ʔ tʃ a t - - -	NAHTAT	1096	7781 154	cabelo	HAIR	Karo	0	naʔtʃat	naʔtʃat	36	Karo (Arara)	HEAD HAIR	36.N.C 36.A.V 36.H.c 36.T.C 36.A.V 36.T.c	AXMBYN	4 7 1 1 7 1	n a + ʔ tʃ a t	naʔtʃat	2.0 1.5 1.1 1.75 1.3 0.8		
143	m a n i + k a p	MANIKAP	1597	231 1188	rede8	HAMMOCK	Karo	0	manikap	manikap	36	Karo (Arara)	HAMMOCK CLASSIFIER	36.M.C 36.A.V 36.N.C 36.I.V 36.K.C 36.A.V 36.P.c	AXBYBYN	4 7 4 7 1 7 1	m a n i + k a p	manikap	2.0 1.5 1.75 1.3 1.75 1.3 0.8	For the classifier see Gabas (1999: 164)	
144	p a - - b e ʔ	PAPEH	1110	7917	mao13	HAND	Karo	0	pabeʔ	pabeʔ	36	Karo (Arara)	HAND	36.P.C 36.A.V 36.P.C 36.E.V 36.H.c	AXBYN	1 7 1 7 1	p a b e ʔ	pabeʔ	2.0 1.5 1.75 1.3 0.8		
145	w ã w	WAW	1121	7995	felizcontente	HAPPY	Karo	0	wãw	wãw	36	Karo (Arara)	HAPPY	36.W.C 36.A.V 36.W.c	AXN	6 7 6	w ã w	wãw	2.0 1.5 0.8		
146	- - k o k õ	KUKU	1128	8048	gaviao	HAWK	Karo	0	kokõ	kokõ	36	Karo (Arara)	HAWK	36.K.C 36.U.V 36.K.C 36.U.V	AXBZ	1 7 1 7	k o k õ	kokõ	2.0 1.5 1.75 0.8		
147	n a + k a - -	NAKA	1134	13525 10	cabeca	HEAD	Karo	0	naka	naka	36	Karo (Arara)	ROUND BONE	36.N.C 36.A.V 36.K.C 36.A.V	AXBZ	4 7 1 7	n a + k a	naka	2.0 1.5 1.75 0.8		
148	- - tʃ e r i - -	SERI	1143	8174	curarsarar	HEAL	Karo	0	ʃeri	ʃeri	36	Karo (Arara)	HEAL	36.S.C 36.E.V 36.R.C 36.I.V	AXBZ	3 7 5 7	tʃ e r i	ʃeri	2.0 1.5 1.75 0.8		
149	- - - - t o p -	TUP	1149	8221	escutarouvir	HEAR	Karo	0	top	top	36	Karo (Arara)	HEAR	36.T.C 36.U.V 36.P.c	AXN	1 7 1	t o p	top	2.0 1.5 0.8		
150	ts a r a g a ʔ -	CARAKAH	3907	2222	coracao4	HEART	Karo	0	tsaragaʔ	tsaragaʔ	36	Karo (Arara)	HEART	36.C.C 36.A.V 36.R.C 36.A.V 36.K.C 36.A.V 36.H.c	AXBYBYN	2 7 5 7 1 7 1	ts a r a g a ʔ	tsaragaʔ	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
151	- p i ʔ t i - -	PIHTI	1163	8339	pesado1	HEAVY	Karo	0	piʔti	piʔti	36	Karo (Arara)	HEAVY	36.P.C 36.I.V 36.H.c 36.T.C 36.I.V	AXMBZ	1 7 1 1 7	p i ʔ t i	piʔti	2.0 1.5 1.1 1.75 0.8		
152	m a w i	MAWI	1169	8396	ouricoporcoespinho	HEDGEHOG	Karo	0	mawi	mawi	36	Karo (Arara)	HEDGEHOG	36.M.C 36.A.V 36.W.C 36.I.V	AXBZ	4 7 6 7	m a w i	mawi	2.0 1.5 1.75 0.8		
153	p a j n ã n	PAJ_NAN	1176	8429	ajudar	HELP	Karo	0	paj nãn	paj+nãn	36	Karo (Arara)	HELP	36.P.C 36.A.V 36.J.c 36._._ 36.N.C 36.A.V 36.N.c	AXN_AXN	1 7 6 9 4 7 4	p a j n ã n	paj nãn	2.0 1.5 0.8 0.0 2.0 1.5 0.8		
154	m e t - - -	MET	4715	3173	aqui	HERE	Karo	0	met	met	36	Karo (Arara)	HERE	36.M.C 36.E.V 36.T.c	AXN	4 7 1	m e t	met	2.0 1.5 0.8		
155	- - m a ʔ ʃ u n	MAHSYN	1194	8564	esconder	HIDE	Karo	0	maʔʃun	maʔʃun	36	Karo (Arara)	HIDE	36.M.C 36.A.V 36.H.C 36.S.C 36.Y.V 36.N.c	AXBCYN	4 7 1 3 7 4	m a ʔ ʃ u n	maʔʃun	2.0 1.5 1.75 1.5 1.3 0.8		
156	- tʃ a p e -	TAPE	1198	8612	bater	HIT	Karo	0	tʃape	tʃape	36	Karo (Arara)	HIT	36.T.C 36.A.V 36.P.C 36.E.V	AXBZ	1 7 1 7	tʃ a p e	tʃape	2.0 1.5 1.75 0.8		
157	tʃ ə k	TEK	1205	8674	buraco	HOLE	Karo	0	tʃək	tʃək	36	Karo (Arara)	HOLE	36.T.C 36.E.V 36.K.c	AXN	1 7 1	tʃ ə k	tʃək	2.0 1.5 0.8		
158	- p e - w i t -	PEWIT	1209	8727	mel1	HONEY	Karo	0	pewit	pewit	36	Karo (Arara)	HONEY	36.P.C 36.E.V 36.W.C 36.I.V 36.T.c	AXBYN	1 7 6 7 1	p e w i t	pewit	2.0 1.5 1.75 1.3 0.8		
159	- a ʔ + n a ʔ ĩ n	AH_NAHIN	3374	1473 8766	chifre	HORN	Karo	0	aʔ-naʔĩn	aʔ+naʔĩn	36	Karo (Arara)	HORN _horn	36.A.V 36.H.c 36._._ 36.N.C 36.A.V 36.H.C 36.I.V 36.N.c	XN_AXBYN	7 1 9 4 7 1 7 4	a ʔ + n a ʔ ĩ n	aʔ-naʔĩn	1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8		
160	- ia k õ p -	JAKUP	1221	8807	quente1	HOT	Karo	0	jakõp	jakõp	36	Karo (Arara)	HOT	36.J.C 36.A.V 36.K.C 36.U.V 36.P.c	AXBYN	6 7 1 7 1	ia k õ p	jakõp	2.0 1.5 1.75 1.3 0.8	Of Cariban origin	YES
162	k a ʔ a ʔ a ʔ	KAHAHAH	1230	8878	casa	HOUSE	Karo	0	kaʔaʔaʔ	kaʔaʔaʔ	36	Karo (Arara)	HOUSE	36.K.C 36.A.V 36.H.C 36.A.V 36.H.C 36.A.V 36.H.c	AXBYBYN	1 7 1 7 1 7 1	k a ʔ a ʔ a ʔ	kaʔaʔaʔ/at	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
163	- a t -	AT	1224	8875	casa	HOUSE	Karo	1	at	at	36	Karo (Arara)	HOUSE	36.A.V 36.T.c	XN	7 1	a t	kaʔaʔaʔ/at	1.5 0.8		
164	- - k ã r a m -	KARAM	1234	8951	beijaflorcolibri	HUMMINGBIRD	Karo	0	kãram	kãram	36	Karo (Arara)	HUMMINGBIRD	36.K.C 36.A.V 36.R.C 36.A.V 36.M.c	AXBYN	1 7 5 7 4	k ã r a m	kãram	2.0 1.5 1.75 1.3 0.8		
165	- ʃ ɨ m - - - + j e - - g a t -	SIM_JEKAT	3167	1186 1187	cacar	HUNT	Karo	0	ʃɨm jegat	ʃɨm+jegat	36	Karo (Arara)	_hunt HUNT	36.S.C 36.I.V 36.M.c 36._._ 36.J.C 36.E.V 36.K.C 36.A.V 36.T.c	AXN_AXBYN	3 7 4 9 6 7 1 7 1	ʃ ɨ m + j e g a t	ʃɨm jegat	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8		
166	m ẽ - n -	MEN	1251	9045	marido1	HUSBAND	Karo	0	mẽn	mẽn	36	Karo (Arara)	HUSBAND	36.M.C 36.E.V 36.N.c	AXN	4 7 4	m ẽ n	mẽn	2.0 1.5 0.8		
167	ʔ õ n -	HUN	1258	9103	eu2	I	Karo	0	ʔõn	ʔõn	36	Karo (Arara)	I	36.H.C 36.U.V 36.N.c	AXN	1 7 4	ʔ õ n	ʔõn	2.0 1.5 0.8		
168	ʃ a p o	SAPU	1264	9162	inga5	INGA	Karo	0	ʃapo	ʃapo	36	Karo (Arara)	INGA	36.S.C 36.A.V 36.P.C 36.U.V	AXBZ	3 7 1 7	ʃ a p o	ʃapo	2.0 1.5 1.75 0.8		
169	- ʔ e k	HEK	1270	9179	dentrode	INSIDE	Karo	0	ʔek	ʔek	36	Karo (Arara)	INSIDE	36.H.C 36.E.V 36.K.c	AXN	1 7 1	ʔ e k	ʔek	2.0 1.5 0.8		
170	w a j o	WAJU	1277	9204	jacare3	JACARÉ / CAIMAN / CROCODILE	Karo	0	wajo	wajo	36	Karo (Arara)	JACARÉ	36.W.C 36.A.V 36.J.C 36.U.V	AXBZ	6 7 6 7	w a j o	wajo	2.0 1.5 1.75 0.8		
171	a m e - k o	AMEKU	1280	4729	onca3	JAGUAR	Karo	0	ameko	ameko	36	Karo (Arara)	JAGUAR	36.A.V 36.M.C 36.E.V 36.K.C 36.U.V	XBYBZ	7 4 7 1 7	a m e k o	ameko	1.5 1.75 1.3 1.75 0.8		
172	t - p u - - -	TPY	1285	9337	saltar	JUMP	Karo	0	tpu	tpu	36	Karo (Arara)	JUMP	36.T.C 36.P.C 36.Y.V	ACZ	1 1 7	t p u	tpu / ʃapehanãm / ʃapepuɲ	2.0 1.5 0.8		
173	- ʃ a p e h a n ã m	SAPEHANAM	1286	9339	saltar	JUMP	Karo	0	ʃapehanãm	ʃapehanãm	36	Karo (Arara)	JUMP	36.S.C 36.A.V 36.P.C 36.E.V 36.H.C 36.A.V 36.N.C 36.A.V 36.M.c	AXBYBYBYN	3 7 1 7 3 7 4 7 4	ʃ a p e h a n ã m	tpu / ʃapehanãm / ʃapepuɲ	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
174	ʃ a p e p u ɲ - -	SAPEPYN	1286	9339	saltar	JUMP	Karo	0	ʃapepuɲ	ʃapepuɲ	36	Karo (Arara)	JUMP	36.S.C 36.A.V 36.P.C 36.E.V 36.P.C 36.Y.V 36.N.c	AXBYBYN	3 7 1 7 1 7 4	ʃ a p e p u ɲ	tpu / ʃapehanãm / ʃapepuɲ	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
175	w i	WI	1294	9374	matar4	KILL	Karo	0	wi	wi	36	Karo (Arara)	KILL	36.W.C 36.I.V	AX	6 7	w i	wi	2.0 1.5		
176	ts e r e k - - - - -	CEREK	1295	9441	guardariosmartimpescador	KING FISHER	Karo	0	tserek	tserek	36	Karo (Arara)	KING.FISHER	36.C.C 36.E.V 36.R.C 36.E.V 36.K.c	AXBYN	2 7 5 7 1	ts e r e k	tserek	2.0 1.5 1.75 1.3 0.8		
177	i j ɨ + n k a ʔ	I_JINKAH	1311	9479 9480	joelho	KNEE	Karo	0	ijɨnkaʔ	i+jɨnkaʔ	36	Karo (Arara)	KNEE _knee	36.I.V 36._._ 36.J.C 36.I.V 36.N.c 36.K.C 36.A.V 36.H.c	X_AXMBYN	7 9 6 7 4 1 7 1	i j ɨ + n k a ʔ	ijɨnkaʔ	1.5 0.0 2.0 1.5 1.1 1.75 1.3 0.8		
178	- - - ia n a k a ʔ	INAKAH	3712	1953	faca	KNIFE	Karo	0	ianakaʔ	ianakaʔ	36	Karo (Arara)	KNIFE	36.I.V 36.N.C 36.A.V 36.K.C 36.A.V 36.H.c	XBYBYN	7 4 7 1 7 1	ia n a k a ʔ	ianakaʔ	1.5 1.75 1.3 1.75 1.3 0.8		
179	tʃ a m ə j	TAMEJ	1324	9603	saber	KNOW	Karo	0	tʃaməj	tʃaməj	36	Karo (Arara)	KNOW	36.T.C 36.A.V 36.M.C 36.E.V 36.J.c	AXBYN	1 7 4 7 6	tʃ a m ə j	tʃaməj	2.0 1.5 1.75 1.3 0.8		
180	- n a p - - ia	NAPI	1333	9715	tocandiratucandeira1	LARGE ANT / BULLET ANT	Karo	1	napia	napia	36	Karo (Arara)	LARGE_BULLET_ANT	36.N.C 36.A.V 36.P.C 36.I.V	AXBZ	4 7 1 7	n a p ia	napia	2.0 1.5 1.75 0.8		
181	i p + n a k ã r a -	IP_NAKARA	1344	9759 9760	bagremandisurubimbagre	LARGE MANDI FISH	Karo	0	ip nakãra	ip+nakãra	36	Karo (Arara)	_large LARGE	36.I.V 36.P.c 36._._ 36.N.C 36.A.V 36.K.C 36.A.V 36.R.C 36.A.V	XN_AXBYBZ	7 1 9 4 7 1 7 5 7	i p + n a k ã r a	ip nakãra	1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8		
182	ʃ e - - j - -	SEJ	3417	1544	rir	LAUGH	Karo	0	ʃej	ʃej	36	Karo (Arara)	LAUGH	36.S.C 36.E.V 36.J.c	AXN	3 7 6	ʃ e j	ʃej	2.0 1.5 0.8		
183	n a ʔ j + o p	NAHJUP	1364	1092 9865	folha	LEAF	Karo	0	naʔjop	naʔjop	36	Karo (Arara)	? LEAF	36.N.C 36.A.V 36.H.C 36.J.C 36.U.V 36.P.c	AXBCYN	4 7 1 6 7 1	n a ʔ j + o p	naʔjop	2.0 1.5 1.75 1.5 1.3 0.8		
184	tʃ a m ə j - - -	TAMEJ	1366	9926	aprender	LEARN	Karo	1	tʃaməj	tʃaməj	36	Karo (Arara)	LEARN	36.T.C 36.A.V 36.M.C 36.E.V 36.J.c	AXBYN	1 7 4 7 6	tʃ a m ə j	tʃaməj	2.0 1.5 1.75 1.3 0.8		
185	w u j	WYJ	4482	2893	sair	LEAVE / GO OUT	Karo	0	wuj	wuj	36	Karo (Arara)	LEAVE	36.W.C 36.Y.V 36.J.c	AXN	6 7 6	w u j	wuj	2.0 1.5 0.8		
186	tʃ ə̃ p ɨ ʔ	TEP	3784	2061	perna	LEG	Karo	0	tʃə̃pɨʔ	tʃə̃p	36	Karo (Arara)	LEG	36.T.C 36.E.V 36.P.c	AXN	1 7 1	tʃ ə̃ p ɨ ʔ	tʃə̃pɨʔ	2.0 1.5 0.8		
187	b ia	PI_	1386	10053	figado1	LIVER	Karo	0	bia	bia+	36	Karo (Arara)	LIVER	36.P.C 36.I.V 36._._	AX_	1 7 9	b ia	bia	2.0 1.5 0.0		
